,STUID,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %
STUID,1.0,0.14898286134760352,-0.010211477621149984,0.021540404611565502,-0.023616265461695263,-0.3671990826548709,-0.21485229899294542,0.029547941957522122,0.01749842145968449,-0.1393405977914589,0.03647128200290048,-0.09719438276007686,-0.10887793832439158,-0.04829710322232905,-0.02479240222232266,-0.012258559821700063,-0.0269601594313711,0.05367816716196101,-0.031798754443330954,0.09826712698836798,0.17403635519939176,-0.01371650789427749,0.06638929222362797,0.020335033117013294,-0.062082194134420884,-0.09945331534094687,-0.1304340129832413,-0.13022231956569513,-0.10746845660493937,-0.12787764143796868,-0.1413693592289628,-0.1555815277938477,0.01848566848755419,0.017547078532467095,0.08471364243566319,-0.046191950147255474,-0.07850543337646212,-0.05825625012489801,-0.03863075434508373,0.06013492573792916,0.03824435832403372,-0.12793342676278396,-0.06721146863862928,-0.08242242907169155,-0.014029022198139264,0.01762796285694228,-0.03514329979885655,-0.11251566296631864,-0.0999064844392353,-0.023593619426886356,-0.06371249510362781,-0.10737778787436394,-0.10002172381877143,-0.06998500655717539,0.06999630707190567,-0.08277059481733183,-0.030521789444805023,0.021927431559068036,-0.10337594367389902,0.03032483521382704,0.020312652797654183,-0.07482486592051799,0.03482394800441599
District,0.14898286134760352,1.0,0.0019118478387055366,-0.06917276279826172,-0.053910548583699376,-0.05217465651237664,0.17929960168423867,-0.007982504634146433,-0.007489815479273661,-0.1948084706858509,-0.003778629012118302,-0.11283653701960292,0.011222716994458636,-0.032567853042966804,0.06036404872625683,0.08282630869397115,-0.03898567296428329,-0.029276122469604475,0.0017652251377132406,0.06528737878593564,-0.08928491894191072,0.05908074040362897,-0.0312813602927969,-0.07540723854997547,0.024854559595408162,0.022867437584933512,0.05372975838373387,0.0027601759840283654,0.07584669885427081,0.03763407233543843,0.04532924611426579,0.024222714753088247,-0.010144321690560029,-0.050675453458607446,0.01292494700640356,-0.031706148340337345,0.05156853534869346,0.020494622465516126,-0.028473316374640255,-0.022288154759136133,0.034971502480656336,0.01690790587437547,0.0071696604056358465,0.052957296237384724,-0.03048270092574393,-0.0034110413435729367,-0.056180301470357116,0.011681440472798517,0.012439177919932508,-0.055713113802303364,-0.1200880546708538,-0.04627921836912198,-0.027155923825608327,-0.003913745062675965,-0.13758026185021252,0.008802649381811106,-0.0016344361577561035,-0.02905306140998093,-0.030264836852220048,0.020240174462030663,-0.03518685995547081,0.029329272499595646,-0.13479330308372456
Gender,-0.010211477621149984,0.0019118478387055366,1.0,-0.1304863539872079,-0.0038440749957494072,0.028810251649354687,0.10216826121606092,-0.0416912248351069,-0.029330144084496308,0.009208257794613353,-0.021318953958081994,0.04718799365308945,0.03932490620201042,-0.10383762540961404,-0.07282904920843458,-0.08373197582183865,-0.04158058900054706,-0.011088741769188871,-0.03888988171665809,-0.07429131694733024,-0.04106347710037325,0.0660666999208903,-0.0010067792138252075,-0.03972136524721072,0.07929393747413045,0.02252562613607546,0.02170543806028017,0.040245748430793475,0.03377689395404395,0.010356130305466461,0.01110460191885059,0.01758136444997582,0.028360428762173897,-0.08335999405950112,-0.01834976342033041,-0.092589103611998,-0.026468102860479684,-0.02851267509696427,0.0040017971257388495,0.02422989373411474,-0.06088001813659222,-0.031265965703178265,-0.022658020780388713,-0.047358805280003156,-0.040542162412911704,-0.04699406963293184,-0.030080017268208747,0.003982253923235766,-0.02258595761054344,0.027267674241801702,0.009361098655053053,0.020653963163202397,-0.015803193905433603,-0.033509291139718136,-0.023700050769574443,-0.023135525825368448,0.021803993452118357,-0.08548236587606148,-0.013370139932525045,-0.058486582873617056,-0.024390001844959538,-0.022377934513493535,-0.2909247164223659
Age,0.021540404611565502,-0.06917276279826172,-0.1304863539872079,1.0,-0.09031798384086909,0.03053701276933731,0.022205629347558632,-0.02758974502182925,-0.03777380126655603,-0.04621733257602959,-0.06445411742884796,0.007795517835882297,0.014641597515033388,0.030865706021435676,-0.0015894803887063088,-0.01577489490849973,-0.02039413658846053,-0.009434042677884655,0.01688584649830995,0.011336191925954666,0.04866611953332558,-0.019431616994862042,-0.06776834940705583,0.04336876930492731,-0.0013216131997256485,0.04144886477370741,0.03124166316352896,0.06052065717047851,0.02710915565855037,0.030035032102134877,0.036899342782011305,0.0351549765361837,-0.02422490674960199,-0.06266063923044957,0.010630093730555236,0.003644845141126296,0.028085891884086733,0.004131175394687844,-0.032488618695236136,0.020247609996173605,-0.006488097667791197,0.0104433578734956,-0.010642943927106735,-0.004384118455471369,0.021079692562234433,0.012518970031851722,0.005129017383521355,0.012313452054892917,-0.04579968063315395,0.054523325018051,0.027444413788414286,0.027799611915790612,0.021336474095422442,0.01417287824393645,0.03140144410581996,-0.020443643335022764,-0.02398366454058961,0.02463018599101827,0.10443532378358286,0.04511877162035668,0.031639903914327,0.03827033397530816,0.014502175545890285
Category,-0.023616265461695263,-0.053910548583699376,-0.0038440749957494072,-0.09031798384086909,1.0,0.07859174576739546,-0.04072614550682484,0.03127308913112486,0.14006022842446347,0.10242058767558031,0.0978680921714696,0.015196136500481294,-0.09123020829008362,0.022738873382889203,0.026032640767604597,0.009850874147807819,0.1319273734138382,0.0649080301541136,0.04366550096144396,0.006601717023845357,-0.0863121939709603,0.022829296326613797,0.10701242990764483,0.00977976696999588,-0.019671755772924692,0.05343839147052921,0.029851067048098485,0.020666820743481387,0.03346816506647337,0.07483840786349588,0.04674457361221368,0.03627050062026284,0.06693373143909441,0.09405292591664022,-0.007020293538082568,0.07619721451399043,0.04690741435087725,0.050304274468407566,0.019039959904939816,-0.10963488011592604,0.019581740910617162,-0.026318773360929592,-0.0104521184781089,0.019932231756906414,0.01736604539662273,0.055701424879164955,0.05062641490915047,-0.0077590857150538605,0.02476525650820913,-0.022114932065913775,-0.004168602070957878,-0.03457639881509478,0.015711103018509826,0.008087649544771081,-0.011516930395016224,0.018554104216290754,0.016206403264930933,0.055990426047137345,0.039888483080842876,0.06822928939666471,0.10398932285962002,0.13304575727970452,0.15430253198976032
Same language,-0.3671990826548709,-0.05217465651237664,0.028810251649354687,0.03053701276933731,0.07859174576739546,1.0,0.1995696200098122,0.03334644378133308,0.06073091263071948,0.10823525809385787,-0.016190473144975924,0.1637615973341572,0.05824574903449534,0.06676573689269255,-0.0013516346762237294,0.010364693988464093,0.09193890301577357,0.01936174391686897,0.07544918653303749,-0.042495948293200574,-0.07121784265076973,0.07441939537601988,-0.039480874192865535,0.010516419902276792,0.026156639307230726,0.06073964354539614,0.04587764447796363,0.10075340879914867,0.06141571582351173,0.0590080799152283,0.029538337057763403,0.10081031510415858,-0.04001491295831367,-0.1307213684899165,-0.10787387527332208,-0.0017300850128410285,0.09702798709792007,0.06129266107815898,0.07830897260076754,-0.021607735857114747,0.018899326905114464,0.1286136803212768,0.08844623544565593,0.1085929248989356,0.0609291805009151,0.07380265812075665,0.05850389774081381,0.041435477230487315,0.06266562322411914,-0.02529833122732613,0.11366488840462717,0.11056343206154734,0.07275346860747908,0.06925049364234723,-0.03761055979229526,0.062431883914939326,0.034482062507065904,0.018817104234522333,0.08369605880000447,-0.011779561965958567,0.008359825236874334,0.17551179621846058,0.012333988701964586
Siblings,-0.21485229899294542,0.17929960168423867,0.10216826121606092,0.022205629347558632,-0.04072614550682484,0.1995696200098122,1.0,-0.00946406956848196,-0.08368108632771482,-0.10072580516516817,-0.04595032828438306,0.009772243417394381,0.11519117534510523,-0.03875362483163618,-0.03007984667786812,-0.02923261681335621,-0.08417264969875128,-0.06742643098174277,-0.044813874227971735,-0.09305155118319124,-0.1792189508407279,0.023981938320588377,-0.07437062398020315,-0.07686372721027819,0.09314570481811367,0.07444835588290785,0.09072689465425712,0.10744997494500232,0.07286621149534993,0.058407247070852854,0.068131378665675,0.08103638436620246,-0.042853191895527436,-0.07713852869759401,-0.02262187905330201,-0.11107080912900244,-0.01738862852943488,-0.061950476841383315,0.0037848166730424094,0.04317958550527346,-0.06654587834511742,0.05735297492545178,-0.04867266691303782,-0.028496101071198484,-0.03372472965288181,0.019199685883227964,-0.04710095157168519,0.013363646027489693,-0.022061016287703593,0.07308685934890263,-0.0008822311126022782,-0.009508692640864697,-0.024100327445025622,-0.0656170019711241,-0.1673783955223073,-0.04566351010355305,-0.027357521039189554,-0.0592117414380402,0.09209716925050959,-0.005691880645604226,-0.16542785640659002,0.009394430011935895,0.0035114577766099065
Handicap,0.029547941957522122,-0.007982504634146433,-0.0416912248351069,-0.02758974502182925,0.03127308913112486,0.03334644378133308,-0.00946406956848196,1.0,0.03350522654361927,0.04232493136244672,0.0343057913801329,0.012505196620815553,0.01774324700675006,0.02354884477645152,0.08627057031397682,0.11426348077377636,0.06388089302087961,0.06407562283590501,-0.004582521462382023,0.04076184075566477,0.04767852940367487,0.08470441841600632,0.01191962554029396,0.006067842456275038,0.03998988815585736,0.11036738658531917,0.10609153034128732,0.10413685362600655,0.04709680692387386,0.11355977718078765,0.08473084834729258,0.09163082429670259,0.06443305646493841,0.02642209671065325,-0.02980535520811056,-0.02215671922694543,-0.001144455609316721,0.0095281529152411,0.01607210778882483,-0.034390416293577614,0.023659441556306705,0.03789156985088695,0.008153483100036775,0.039015972054350395,-0.01142988215777955,0.01870487992139432,0.02813718391404304,0.051871701929612594,0.0631450802294839,-0.08902410448513412,0.008162660699527724,0.002643576651338561,0.06220445311236156,0.07278002496932631,0.06372400654079301,0.0780298431042212,0.06551387131366247,0.045627944594347804,-0.0015515050590289743,0.009637453245647845,-0.03699053187640287,-0.03664927982277631,0.03324994465885459
Father edu,0.01749842145968449,-0.007489815479273661,-0.029330144084496308,-0.03777380126655603,0.14006022842446347,0.06073091263071948,-0.08368108632771482,0.03350522654361927,1.0,0.39947104241480336,0.34416866174773314,-0.00878073277244498,-0.10543229989121353,0.14289227657308526,0.1925010147590087,0.13833548089803424,0.2448588075530571,0.1771381627313365,0.25509592259285013,0.12108876563474162,0.04028886585830129,0.06598758780096078,0.06748113657578775,0.09919676797601258,-0.06782097699204401,0.06783307024622194,0.032225143239823596,0.004721643472839002,-0.027625088878455207,0.0535971470961161,0.02955253789231871,0.020967860066391942,0.1646293113267408,0.10868735582532242,-0.06008389349493863,0.05605585260494955,0.14610652687813208,0.09894958972526108,0.030793799390962325,-0.13089201933824024,0.058240770322706074,0.03647452564132814,0.09808156539936008,0.12477180521315694,-0.021780716779265526,0.0918228552307659,0.08463204871704312,0.03870218826540491,0.07636993658125492,-0.07089658354352193,0.026026591519459442,-0.015767738648929077,0.06708269763242042,0.10574441838907847,0.0727837629431987,0.18067511425991042,0.11732695452495066,0.04991674351305377,0.02644320752878794,0.013449792350286335,0.19431208846150455,0.20202009650682293,0.06070305971412404
Mother edu,-0.1393405977914589,-0.1948084706858509,0.009208257794613353,-0.04621733257602959,0.10242058767558031,0.10823525809385787,-0.10072580516516817,0.04232493136244672,0.39947104241480336,1.0,0.19426521947556266,0.24100352806845746,-0.069866038755441,0.18425859486093146,0.17866673705552477,0.14985921764613286,0.2058597637028979,0.10661202409066137,0.15450499003722543,-0.07434188403096982,0.1022208570731299,0.04655317735022726,0.00497868418788074,0.04818591958810389,0.010642942641976669,0.07922459178383137,0.07235019722674965,0.0904909985467564,0.025995972191079585,0.07028493890908905,0.07180404608284653,0.08198960034503741,0.08161046572856435,0.03549914448577609,-0.05218054664566405,0.0602812413526432,0.08782366519271254,0.08137442788910719,0.08829790204855521,-0.08170895783425836,0.08021763490945964,0.08091780593541566,0.11565820360433109,0.11721356658375277,0.009880707801597902,0.06514794736180995,0.09335508892991935,0.0806462205641392,0.06211748087562891,-0.07620476671888256,0.10955958351604053,0.03179134397564208,0.09389471814503819,0.10006428475366787,0.13452589310676102,0.17431964232422711,0.036397100073397956,0.015002461551265356,0.04904812512663888,0.033872213578663636,0.13026186116254285,0.2705079618250112,0.26606994279537244
Father occupation,0.03647128200290048,-0.003778629012118302,-0.021318953958081994,-0.06445411742884796,0.0978680921714696,-0.016190473144975924,-0.04595032828438306,0.0343057913801329,0.34416866174773314,0.19426521947556266,1.0,0.0024958385659955384,-0.11377438661502587,0.1620046890183836,0.11788615661454929,0.1346958328582607,0.16253243913175852,0.13428661559240634,0.1921253420926599,0.05545159565410522,-0.025715728198009106,-0.040929119591523594,-0.027255696749269857,0.07194583708706453,-0.0894900482241553,0.025201856316975482,-0.0009780256928524139,-0.05914860789746635,-0.09198215097221378,-0.0049092150514071205,-0.031920226902684014,-0.07790316805030503,0.0974435093763072,0.16962829572115046,0.00984745988679128,-0.0009764474301395484,0.040555926871244305,-0.0025297049656896027,-0.04091226956763874,-0.012134664890570836,0.019360521447136285,-0.007138051767369309,0.09054788189721791,0.05339434745152513,0.030694241799117138,0.07161170748682429,0.026643982902859086,0.003602928156825102,0.047652569461137426,-0.047303695442118106,-0.012739624679327235,-0.046686068188628936,0.013436147007868786,0.0676344414083978,0.056233693337095436,0.11804559307012139,0.04225453586614088,-0.013059972274549483,0.003954379719102269,0.04550913486336978,0.16277386518768364,0.11711002209160801,0.05131275381677978
Mother occupation,-0.09719438276007686,-0.11283653701960292,0.04718799365308945,0.007795517835882297,0.015196136500481294,0.1637615973341572,0.009772243417394381,0.012505196620815553,-0.00878073277244498,0.24100352806845746,0.0024958385659955384,1.0,-0.001630824132927587,0.03352134604332446,0.051044430648896036,0.017339407524749554,0.025029949187907713,9.62270136405403e-05,-0.003847837953921721,-0.06035192065336911,-0.016821817291267062,0.0663439236810562,-0.05013718731741539,-0.012150318855783828,-0.043923232002719845,0.016562218454704642,0.01539053261970904,0.06212849403624673,-0.04196456225540507,0.022741010134728176,-0.009400826463143892,0.0500680636059148,0.042674617067984644,-0.06341052286586579,-0.05498285514055916,0.05069954738326288,0.054747483713887185,0.05479297712329279,0.07428582364754904,-0.021691023254207544,0.027964362467005118,0.0958029693218117,0.0746323940006651,0.03535914240413514,-0.0002515149180031587,0.0008673606909638615,0.06551870198674886,0.08595521425391113,0.05197797561970523,-0.005084908847614144,0.08163273183693696,0.051558711960478676,0.05565039681801647,0.043525977125516174,0.03769281358726948,0.06891195392893079,0.043611582411961676,0.07152243455115907,0.024460763040070072,-0.03371626657896988,0.034975205060629865,0.03059382685370932,0.00634589190848201
Below poverty,-0.10887793832439158,0.011222716994458636,0.03932490620201042,0.014641597515033388,-0.09123020829008362,0.05824574903449534,0.11519117534510523,0.01774324700675006,-0.10543229989121353,-0.069866038755441,-0.11377438661502587,-0.001630824132927587,1.0,-0.021592962397722376,-0.12280559094247798,-0.10035208533135205,-0.07435571904626058,-0.050312792692765576,-0.03291421339057419,-0.08457088089001472,-0.07942080239846343,-0.02623961991531264,-0.06397774189639313,-0.015294288101330647,0.025552061841721752,-0.034869236147318884,-0.010297542700966143,-0.010327346167280996,0.00977819808093763,0.005191424183625991,0.014720603235737156,0.023979139204717552,0.046254356352813504,-0.0023372410439050054,0.0035937999162279593,-0.027537929576363734,-0.04275386498392941,-0.036658702245140305,-0.007264949138707852,0.0366700640614074,-0.021445865517614005,-0.019847026834356043,-0.008314148333839932,-0.04087187428936581,-0.008676062762848932,-0.019389726658124818,-0.02699411507203933,-0.027202987189638712,-0.05682964414237654,0.033219320988537415,-0.004274363447860833,0.015087625194802484,-0.050810834404828954,-0.047486564602215425,-0.02575702785297032,-0.049244619490228445,-0.011467095948849185,0.05905335264237533,0.07256251978970854,-0.01688466422781561,-0.06975516736387191,-0.08644474408198095,-0.03492751357350773
Use calculator,-0.04829710322232905,-0.032567853042966804,-0.10383762540961404,0.030865706021435676,0.022738873382889203,0.06676573689269255,-0.03875362483163618,0.02354884477645152,0.14289227657308526,0.18425859486093146,0.1620046890183836,0.03352134604332446,-0.021592962397722376,1.0,0.29983954385473655,0.3628231061039462,0.1935086739997031,0.1280304163416972,0.18634227347932578,0.004487122898884081,0.017940806290135353,0.052856406720280184,0.02920772438836675,0.07726158461320157,-0.03681991830127642,0.045957028685540934,0.02693352755206019,0.02051101301586048,-0.010327840535279898,0.031080978769451283,0.044537130583689126,0.03379774675330141,0.07414241263310045,0.0767482232271894,-0.0898544504539873,0.025149377417023607,0.035706770215921425,0.06259400847662604,0.042688538324824346,-0.0950008360218421,0.07693520761614323,0.06696277985765922,0.13548585909360006,0.1267311176027157,-0.048918082126013555,0.07567878517670623,0.08535160351139055,0.07736556396699579,0.09574743292522589,-0.1130656995464736,0.02798330447085495,0.05649462760322284,0.08240081687950553,0.12265676310146033,0.12007581848209632,0.15614149639855332,0.11063711972537772,0.0702452830781331,0.010733813913381435,0.02119464087352063,0.14677229632712094,0.09319607133090552,0.2056329382905209
Use computer,-0.02479240222232266,0.06036404872625683,-0.07282904920843458,-0.0015894803887063088,0.026032640767604597,-0.0013516346762237294,-0.03007984667786812,0.08627057031397682,0.1925010147590087,0.17866673705552477,0.11788615661454929,0.051044430648896036,-0.12280559094247798,0.29983954385473655,1.0,0.6505552700478504,0.23094737424876285,0.03800456424344865,0.16869527012318497,0.07797255324349747,0.086600773821966,0.14771248688371222,0.13958907379806107,-0.0020187402698919714,0.02500898728732798,0.0659595749410989,0.09242259267922656,0.07688520831206788,0.052865018942832,0.07162258688357181,0.06259647084791257,0.057761490187628585,0.08171116418631653,0.00312991208786376,-0.05096354611777846,0.13793122022225626,0.026307637424927244,0.10676247208993865,0.0940762372706437,-0.05362591877908814,0.10875079002014336,0.10146281217904103,0.12162441386052855,0.13962537944896627,-0.016390876447020405,0.09883230041142096,0.08150943761280816,0.0880726939789146,0.07739415276352139,-0.05814145275345922,0.025884483233467592,0.07109983347690008,0.09439408945377593,0.11446767894800432,0.03521048693893055,0.15349909376778864,0.10809555644825211,0.004239906653378579,-0.028728124517076604,0.03700588231413642,0.13598778501305547,0.14622797313729044,0.13650047872118506
Use Internet,-0.012258559821700063,0.08282630869397115,-0.08373197582183865,-0.01577489490849973,0.009850874147807819,0.010364693988464093,-0.02923261681335621,0.11426348077377636,0.13833548089803424,0.14985921764613286,0.1346958328582607,0.017339407524749554,-0.10035208533135205,0.3628231061039462,0.6505552700478504,1.0,0.2853409875109726,0.035772046651378245,0.13481988799319908,0.06316600434541798,0.09359759782164212,0.15328988108670308,0.11572338594994352,-0.02676366634474653,0.018931524106548078,0.09406460995004397,0.13149816301158887,0.1006216786239888,0.05149732136868136,0.10258551239101366,0.11037140793469166,0.10084375493741751,0.0608755050607079,0.020499278634508275,-0.07795986909069463,0.10446126507254695,0.031136221111229878,0.1106766947309251,0.0925476212430124,-0.09553692751516281,0.11287048539075706,0.07908566639075591,0.1244269426743101,0.14946507699038009,-0.04420933176160158,0.08246446936264049,0.05774216339374337,0.07003836337487454,0.06586381847719215,-0.09449026826902689,0.034411622768763146,0.06709682359699883,0.0998573003633879,0.11372412150004006,0.0274206282759938,0.11986605166362892,0.13358996916533744,0.02536354529220442,-0.005447308126992608,0.008490257567485062,0.13047495614198992,0.16170485951145602,0.1228305007218291
Use dictionary,-0.0269601594313711,-0.03898567296428329,-0.04158058900054706,-0.02039413658846053,0.1319273734138382,0.09193890301577357,-0.08417264969875128,0.06388089302087961,0.2448588075530571,0.2058597637028979,0.16253243913175852,0.025029949187907713,-0.07435571904626058,0.1935086739997031,0.23094737424876285,0.2853409875109726,1.0,0.23691294959583115,0.23003585531801946,0.03865511280977509,-0.042363580082501594,0.10031559750838179,0.07789474025551713,0.009796162344493958,-0.046843422336526816,0.10382315438746283,0.07077678495175505,0.05353028151299962,0.03712785629588245,0.12253168046852483,0.12552753103093775,0.08997345797538436,0.17854806560768155,0.06097397434621769,-0.09840593313486318,0.05797251034987416,0.23820487961588657,0.16224015079667217,0.08008758237964785,-0.1245333009004205,0.04841705540566631,0.07743088562641057,0.1266581161166129,0.12915187413943766,0.008202553217976258,0.0863603284581173,0.09988869931005348,0.059077006538075454,0.09317706548904851,-0.062170214460952375,0.12119622026822682,0.01956365360966119,0.08861421697280171,0.11910866825869962,0.05307589322802156,0.2121033009899718,0.15326802801381859,0.06204631149948534,0.03499227200153194,-0.014803086178980763,0.24956628546224846,0.2831816582062306,0.1438991238635564
Read other books,0.05367816716196101,-0.029276122469604475,-0.011088741769188871,-0.009434042677884655,0.0649080301541136,0.01936174391686897,-0.06742643098174277,0.06407562283590501,0.1771381627313365,0.10661202409066137,0.13428661559240634,9.62270136405403e-05,-0.050312792692765576,0.1280304163416972,0.03800456424344865,0.035772046651378245,0.23691294959583115,1.0,0.43945237444371793,0.017601617560687458,0.01924703455192924,0.022552452029685484,0.044603680203005695,0.14375877528027295,0.02199258106381015,0.08120917672719427,0.052481950823933685,0.031072661314560247,0.06018732873859228,0.11514492275409004,0.10753559799510694,0.07633011034277556,0.17632505536757498,0.10869270371601582,-0.0024941724646088265,0.002715744865299454,0.1667725911599462,0.07869598633984093,0.04710795541756653,-0.012592567734329289,0.12832257381138965,0.08660597810767551,0.13302381951507264,0.11274429733403667,-0.0016697260497804654,0.06401803107970556,0.07589658491330853,0.06721294607092175,0.06538512881789967,-0.14422767525286692,0.1081773195929572,0.03369895671075149,0.0463602742691048,0.07867240123352914,0.12168759825600177,0.2227647566451151,0.1449438555003603,0.0319013650277343,0.05562829493695239,0.04010873909848943,0.12133521883303007,0.21890963194284713,-0.09553610740820212
# Books,-0.031798754443330954,0.0017652251377132406,-0.03888988171665809,0.01688584649830995,0.04366550096144396,0.07544918653303749,-0.044813874227971735,-0.004582521462382023,0.25509592259285013,0.15450499003722543,0.1921253420926599,-0.003847837953921721,-0.03291421339057419,0.18634227347932578,0.16869527012318497,0.13481988799319908,0.23003585531801946,0.43945237444371793,1.0,0.07496308301840339,0.0881366893921954,0.11771106988052177,0.03628537296842668,0.09084113236987262,0.0244716852512957,0.03054003316040623,-0.022534332192640075,-0.011794985405881106,0.040326087694088165,0.03993730379606596,0.010857951905269047,-0.012862466593765165,0.15829895965847732,0.045986271192659356,-0.10390475838929522,0.03361650977779147,0.140363327121137,0.1042992058883566,0.044540805164928504,-0.05912560426773813,0.09681404857232291,0.1275484860347916,0.19478860115722965,0.18443121705045695,-0.0055961429314344046,0.08686575029512297,0.09205142634203965,0.09759272568980963,0.11006519028329019,-0.09214013800975747,0.027150204906498412,0.08442022893587987,0.05139164481536993,0.1157538633879054,0.09453095029987997,0.24114456469776085,0.1599401885623325,0.02643191391786271,0.04910644275892581,0.028888543604124,0.1637090934103547,0.3009014608591754,-0.0863466286429642
Distance,0.09826712698836798,0.06528737878593564,-0.07429131694733024,0.011336191925954666,0.006601717023845357,-0.042495948293200574,-0.09305155118319124,0.04076184075566477,0.12108876563474162,-0.07434188403096982,0.05545159565410522,-0.06035192065336911,-0.08457088089001472,0.004487122898884081,0.07797255324349747,0.06316600434541798,0.03865511280977509,0.017601617560687458,0.07496308301840339,1.0,0.08950848656164488,0.006360534457515458,0.022050581961820855,-0.02474222111705062,-0.0573252806051731,0.010671664328318212,-0.005535070590165599,-0.028362427313741494,-0.03257386948898964,-0.0005567599695165254,-0.0112878637997122,-0.027907625561575937,-0.01828737076105765,0.030428349615173808,0.07388458263175703,0.04479532169484679,0.010097378742528767,0.028932606466677394,-0.006785146859349617,-0.013184330348225283,0.0023719913810277653,-0.016962906036143085,0.02228865035554635,0.04264556818997114,0.0625592876786199,0.006130470812850882,-0.02608563960569591,-0.016752069967577173,-0.00734045148313063,-0.03553912867853802,-0.07507577427830957,-0.03820573989790758,-0.032436169095265754,0.006300701180760385,0.04190907906734123,-0.031156878359657664,-0.006220902772189864,0.025060234895348643,-0.06303481769817296,0.026958073806159583,0.13449352166558945,0.06749566057324499,0.1066436759159276
